Google Click ID,Conversion Name,Conversion Time
CjwKCAjwtdeFBhBAEiwAKOIy52Ost45PU99ncA-l6huxSOLxyIxQyMdlnLzxBPbj6QJF229l5ouNbBoCNwEQAvD_BwE,website-lead,2021-06-01 19:22:40+0000
CjwKCAjwtdeFBhBAEiwAKOIy5-d5ZrDLwS5Irfyzg06hh1wMq9p-8T-v221k_5rTcnYRsrQfJOphSxoCLhEQAvD_BwE,newsletter,2021-06-01 13:39:00+0000
EAIaIQobChMI_rP_6JLz8AIVxwiRCh32sgyVEAAYASAAEgIlBvD_BwE,request_more_info,2021-05-31 05:16:32+0000
EAIaIQobChMI_rP_6JLz8AIVxwiRCh32sgyVEAAYASAAEgIlBvD_BwE,request_more_info,2021-05-31 05:13:06+0000
